msg_ratio,total_peers,received_messages,all_expected_messages,from_publisher,relayed,direct_publisher_percent,direct_publisher_percent2,number_propagating
1,40,39,39,8,31,20.51282051,0.2051282051,15
1,40,39,39,11,28,28.20512821,0.2820512821,15
1,40,39,39,8,31,20.51282051,0.2051282051,16
1,40,39,39,8,31,20.5128205128205,0.2051282051,15
1,40,39,39,11,28,28.2051282051282,0.2820512821,15
1,40,39,39,8,31,20.5128205128205,0.2051282051,16
1,45,44,44,8,36,18.18181818,0.1818181818,16
1,45,44,44,8,36,18.18181818,0.1818181818,19
1,45,44,44,9,35,20.45454545,0.2045454545,15
1,45,44,44,8,36,18.1818181818182,0.1818181818,16
1,45,44,44,8,36,18.1818181818182,0.1818181818,19
1,45,44,44,9,35,20.4545454545455,0.2045454545,15
1,50,49,49,11,38,22.44897959,0.2244897959,19
1,50,49,49,8,41,16.32653061,0.1632653061,18
1,50,49,49,6,43,12.24489796,0.1224489796,18
1,50,49,49,11,38,22.4489795918367,0.2244897959,19
1,50,49,49,8,41,16.3265306122449,0.1632653061,18
1,50,49,49,6,43,12.2448979591837,0.1224489796,18
1,55,54,54,5,49,9.259259259,0.09259259259,21
1,55,54,54,10,44,18.51851852,0.1851851852,21
1,55,54,54,7,47,12.96296296,0.1296296296,19
1,55,54,54,5,49,9.25925925925926,0.0925925926,21
1,55,54,54,10,44,18.5185185185185,0.1851851852,21
1,55,54,54,7,47,12.962962962963,0.1296296296,19
1,60,59,59,6,53,10.16949153,0.1016949153,27
1,60,59,59,7,52,11.86440678,0.1186440678,25
1,60,59,59,8,51,13.55932203,0.1355932203,22
1,60,59,59,6,53,10.1694915254237,0.1016949153,27
1,60,59,59,7,52,11.864406779661,0.1186440678,25
1,60,59,59,8,51,13.5593220338983,0.1355932203,22
1,65,64,64,5,59,7.8125,0.0781250000,27
1,65,64,64,4,60,6.25,0.0625000000,28
1,65,64,64,6,58,9.375,0.0937500000,28
1,70,69,69,4,65,5.797101449,0.05797101449,26
1,70,69,69,7,62,10.14492754,0.1014492754,28
1,70,69,69,2,67,2.898550725,0.02898550725,32
1,70,69,69,4,65,5.79710144927536,0.0579710145,26
1,70,69,69,7,62,10.1449275362319,0.1014492754,28
1,70,69,69,2,67,2.89855072463768,0.0289855072,32
1,75,74,74,5,69,6.756756757,0.06756756757,29
1,75,74,74,6,68,8.108108108,0.08108108108,27
1,75,74,74,8,66,10.81081081,0.1081081081,34
1,75,74,74,5,69,6.75675675675676,0.0675675676,29
1,75,74,74,6,68,8.10810810810811,0.0810810811,27
1,75,74,74,8,66,10.8108108108108,0.1081081081,34
1,80,79,79,10,69,12.65822785,0.1265822785,30
1,80,79,79,4,75,5.063291139,0.05063291139,35
1,80,79,79,5,74,6.329113924,0.06329113924,29
1,80,79,79,10,69,12.6582278481013,0.1265822785,30
1,80,79,79,4,75,5.06329113924051,0.0506329114,35
1,80,79,79,5,74,6.32911392405063,0.0632911392,29
1,85,84,84,4,80,4.761904762,0.04761904762,35
1,85,84,84,4,80,4.76190476190476,0.0476190476,35
1,100,99,99,8,91,8.080808,0.08080808,32
1,100,99,99,4,95,4.040404,0.04040404,40
1,100,99,99,7,92,7.070707,0.07070707,39
1,100,99,99,7,92,7.070707,0.07070707,35
1,100,99,99,7,92,7.070707,0.07070707,21
1,100,99,99,6,93,6.060606,0.06060606,31
1,100,99,99,8,91,8.080808,0.08080808,34
1,125,124,124,10,114,8.064516,0.08064516,46
1,125,124,124,8,116,6.4516125,0.064516125,43
1,125,124,124,7,117,5.645161,0.05645161,47
1,125,124,124,9,115,7.2580643,0.072580643,37
1,125,124,124,7,117,5.645161,0.05645161,37
1,125,124,124,7,117,5.645161,0.05645161,43
1,125,124,124,8,116,6.4516125,0.064516125,50
1,150,149,149,8,141,5.3691278,0.053691278,58
1,150,149,149,11,138,7.3825502,0.073825502,49
1,150,149,149,9,140,6.0402684,0.060402684,55
1,150,149,149,8,141,5.3691278,0.053691278,46
1,150,149,149,9,140,6.0402684,0.060402684,43
1,150,149,149,10,139,6.711409,0.06711409,54
1,150,149,149,10,139,6.711409,0.06711409,45
1,175,174,174,5,169,2.8735633,0.028735633,65
1,175,174,174,14,160,8.045978,0.08045978,60
1,175,174,174,9,165,5.172414,0.05172414,58
1,175,174,174,10,164,5.7471266,0.057471266,49
1,175,174,174,10,164,5.7471266,0.057471266,53
1,175,174,174,11,163,6.3218393,0.063218393,52
1,175,174,174,8,166,4.597701,0.04597701,56
1,200,199,199,10,189,5.0251255,0.050251255,79
1,200,199,199,10,189,5.0251255,0.050251255,68
1,200,199,199,12,187,6.030151,0.06030151,70
1,200,199,199,9,190,4.522613,0.04522613,73
1,200,199,199,9,190,4.522613,0.04522613,78
1,200,199,199,6,193,3.0150754,0.030150754,81
1,200,199,199,11,188,5.5276384,0.055276384,53
1,200,199,199,7,192,3.517588,0.03517588,65
1,200,199,199,10,189,5.0251255,0.050251255,63
1,200,199,199,11,188,5.5276384,0.055276384,64
1,200,199,199,8,191,4.0201006,0.040201006,70
1,200,199,199,9,190,4.522613,0.04522613,66
1,200,199,199,11,188,5.5276384,0.055276384,67
1,200,199,199,9,190,4.522613,0.04522613,64
1,225,224,224,5,219,2.232143,0.02232143,85
1,225,224,224,5,219,2.232143,0.02232143,89
1,225,224,224,9,215,4.017857,0.04017857,84
1,225,224,224,10,214,4.464286,0.04464286,71
1,225,224,224,10,214,4.464286,0.04464286,76
1,225,224,224,9,215,4.017857,0.04017857,82
1,225,224,224,10,214,4.464286,0.04464286,80
1,250,249,249,12,237,4.819277,0.04819277,102
1,250,249,249,8,241,3.2128513,0.032128513,98
1,250,249,249,9,240,3.6144576,0.036144576,92
1,250,249,249,8,241,3.2128513,0.032128513,85
1,250,249,249,10,239,4.016064,0.04016064,73
1,250,249,249,6,243,2.4096384,0.024096384,78
1,250,249,249,9,240,3.6144576,0.036144576,79
1,275,274,274,9,265,3.2846715,0.032846715,97
1,275,274,274,9,265,3.2846715,0.032846715,114
1,275,274,274,7,267,2.5547445,0.025547445,88
1,275,274,274,9,265,3.2846715,0.032846715,90
1,275,274,274,10,264,3.6496348,0.036496348,89
1,275,274,274,8,266,2.919708,0.02919708,88
1,275,274,274,9,265,3.2846715,0.032846715,91
1,300,299,299,10,289,3.3444815,0.033444815,120
1,300,299,299,9,290,3.0100334,0.030100334,112
1,300,299,299,9,290,3.0100334,0.030100334,92
1,300,299,299,13,286,4.347826,0.04347826,114
1,300,299,299,10,289,3.3444815,0.033444815,103
1,300,299,299,11,288,3.6789298,0.036789298,107
1,300,299,299,4,295,1.3377926,0.013377926,98
1,300,299,299,10,289,3.3444815,0.033444815,104
1,300,299,299,10,289,3.3444815,0.033444815,102
1,300,299,299,12,287,4.0133777,0.040133777,102
1,300,299,299,10,289,3.3444815,0.033444815,95
1,300,299,299,10,289,3.3444815,0.033444815,105
1,300,299,299,13,286,4.347826,0.04347826,95
1,300,299,299,9,290,3.0100334,0.030100334,95
1,325,324,324,12,312,3.7037036,0.037037036,116
1,325,324,324,6,318,1.8518518,0.018518518,131
1,325,324,324,10,314,3.0864198,0.030864198,121
1,325,324,324,9,315,2.777778,0.02777778,105
1,325,324,324,10,314,3.0864198,0.030864198,105
1,325,324,324,8,316,2.4691358,0.024691358,111
1,325,324,324,8,316,2.4691358,0.024691358,115
1,350,349,349,10,339,2.8653295,0.028653295,141
1,350,349,349,8,341,2.2922637,0.022922637,128
1,350,349,349,11,338,3.1518624,0.031518624,125
1,350,349,349,8,341,2.2922637,0.022922637,116
1,350,349,349,12,337,3.4383953,0.034383953,108
1,350,349,349,11,338,3.1518624,0.031518624,108
1,350,349,349,4,345,1.1461319,0.011461319,122
1,375,374,374,7,367,1.8716577,0.018716577,140
1,375,374,374,5,369,1.3368983,0.013368983,150
1,375,374,374,15,359,4.0106955,0.040106955,142
1,375,374,374,11,363,2.9411764,0.029411764,114
1,375,374,374,10,364,2.6737967,0.026737967,127
1,375,374,374,13,361,3.4759357,0.034759357,117
1,375,374,374,10,364,2.6737967,0.026737967,140
1,400,399,399,8,391,2.0050125,0.020050125,152
1,400,399,399,5,394,1.2531328,0.012531328,161
