total_peers,honest_peers,attacker_peers,attacker_ratio,received_messages,message_ratio,received_messages_shall
12,2,10,0.833333333333333,1,1,1
12,2,10,0.833333333333333,1,1,1
12,2,10,0.833333333333333,1,1,1
12,2,10,0.833333333333333,1,1,1
12,2,10,0.833333333,1,1,1
13,3,10,0.769230769,2,1,2
14,4,10,0.714285714,3,1,3
15,5,10,0.666666667,4,1,4
16,6,10,0.625,5,1,5
17,7,10,0.588235294,6,1,6
18,8,10,0.555555556,7,1,7
19,9,10,0.526315789,8,1,8
20,10,10,0.5,9,1,9
22,12,10,0.454545455,11,1,11
23,13,10,0.434782609,12,1,12
24,14,10,0.416666667,13,1,13
25,15,10,0.4,14,1,14
26,16,10,0.384615385,15,1,15
27,17,10,0.37037037,16,1,16
28,18,10,0.357142857,17,1,17
22,2,20,0.909090909090909,1,1,1
22,2,20,0.909090909090909,0,0,1
22,2,20,0.909090909090909,0,0,1
23,3,20,0.869565217391304,2,1,2
23,3,20,0.869565217391304,0,0,2
23,3,20,0.869565217391304,0,0,2
24,4,20,0.833333333333333,3,1,3
24,4,20,0.833333333333333,3,1,3
24,4,20,0.833333333333333,3,1,3
25,5,20,0.8,4,1,4
25,5,20,0.8,4,1,4
25,5,20,0.8,4,1,4
24,4,20,0.833333333333333,3,1,3
25,5,20,0.8,4,1,4
22,2,20,0.909090909090909,1,1,1
22,2,20,0.909090909090909,0,0,1
22,2,20,0.909090909090909,0,0,1
23,3,20,0.869565217391304,2,1,2
23,3,20,0.869565217391304,0,0,2
23,3,20,0.869565217391304,0,0,2
24,4,20,0.833333333333333,3,1,3
24,4,20,0.833333333333333,3,1,3
24,4,20,0.833333333333333,3,1,3
25,5,20,0.8,4,1,4
25,5,20,0.8,4,1,4
25,5,20,0.8,4,1,4
24,4,20,0.833333333333333,3,1,3
25,5,20,0.8,4,1,4
26,6,20,0.769230769,5,1,5
27,7,20,0.740740741,6,1,6
28,8,20,0.714285714,7,1,7
29,9,20,0.689655172,8,1,8
30,10,20,0.666666667,9,1,9
31,11,20,0.64516129,10,1,10
32,12,20,0.625,11,1,11
32,2,30,0.9375,0,0,1
32,2,30,0.9375,0,0,1
32,2,30,0.9375,1,1,1
33,3,30,0.909090909090909,2,1,2
33,3,30,0.909090909090909,2,1,2
33,3,30,0.909090909090909,0,0,2
34,4,30,0.882352941176471,3,1,3
34,4,30,0.882352941176471,3,1,3
34,4,30,0.882352941176471,0,0,3
35,5,30,0.857142857142857,4,1,4
35,5,30,0.857142857142857,4,1,4
35,5,30,0.857142857142857,4,1,4
36,6,30,0.833333333333333,5,1,5
36,6,30,0.833333333333333,5,1,5
36,6,30,0.833333333333333,5,1,5
37,7,30,0.810810810810811,6,1,6
37,7,30,0.810810810810811,6,1,6
37,7,30,0.810810810810811,6,1,6
34,4,30,0.882352941176471,2,0.666666666666667,3
35,5,30,0.857142857142857,4,1,4
36,6,30,0.833333333333333,5,1,5
37,7,30,0.810810810810811,6,1,6
32,2,30,0.9375,0,0,1
32,2,30,0.9375,0,0,1
32,2,30,0.9375,1,1,1
33,3,30,0.909090909090909,2,1,2
33,3,30,0.909090909090909,2,1,2
33,3,30,0.909090909090909,0,0,2
34,4,30,0.882352941176471,3,1,3
34,4,30,0.882352941176471,3,1,3
34,4,30,0.882352941176471,0,0,3
35,5,30,0.857142857142857,4,1,4
35,5,30,0.857142857142857,4,1,4
35,5,30,0.857142857142857,4,1,4
36,6,30,0.833333333333333,5,1,5
36,6,30,0.833333333333333,5,1,5
36,6,30,0.833333333333333,5,1,5
37,7,30,0.810810810810811,6,1,6
37,7,30,0.810810810810811,6,1,6
37,7,30,0.810810810810811,6,1,6
34,4,30,0.882352941176471,2,0.666666666666667,3
35,5,30,0.857142857142857,4,1,4
36,6,30,0.833333333333333,5,1,5
37,7,30,0.810810810810811,6,1,6
32,2,30,0.9375,0,0,1
34,4,30,0.882352941,3,1,3
35,5,30,0.857142857,4,1,4
36,6,30,0.833333333,5,1,5
37,7,30,0.810810811,6,1,6
38,8,30,0.789473684,7,1,7
39,9,30,0.769230769,8,1,8
40,10,30,0.75,9,1,9
41,11,30,0.731707317,10,1,10
42,12,30,0.714285714,11,1,11
42,2,40,0.952380952380952,0,0,1
42,2,40,0.952380952380952,1,1,1
42,2,40,0.952380952380952,0,0,1
43,3,40,0.930232558139535,2,1,2
43,3,40,0.930232558139535,2,1,2
43,3,40,0.930232558139535,0,0,2
44,4,40,0.909090909090909,0,0,3
44,4,40,0.909090909090909,0,0,3
44,4,40,0.909090909090909,0,0,3
45,5,40,0.888888888888889,4,1,4
45,5,40,0.888888888888889,4,1,4
45,5,40,0.888888888888889,4,1,4
46,6,40,0.869565217391304,5,1,5
46,6,40,0.869565217391304,5,1,5
